date, milk_ML
1/4/2008,  36.77 
2/4/2008,  37.25 
3/4/2008,  37.21 
4/4/2008,  37.61 
5/4/2008,  37.45 
6/4/2008,  37.72 
7/4/2008,  37.23 
8/4/2008,  37.31 
9/4/2008,  37.48 
10/4/2008,  37.41 
11/4/2008,  37.69 
12/4/2008,  37.89 
13/4/2008,  37.72 
14/4/2008,  37.81 
15/4/2008,  37.57 
16/4/2008,  37.93 
17/4/2008,  37.92 
18/4/2008,  38.31 
19/4/2008,  38.18 
20/4/2008,  38.01 
21/4/2008,  38.02 
22/4/2008,  37.88 
23/4/2008,  38.44 
24/4/2008,  38.46 
25/4/2008,  38.78 
26/4/2008,  38.91 
27/4/2008,  39.02 
28/4/2008,  39.12 
29/4/2008,  38.97 
30/4/2008,  39.32 
1/5/2008,  38.94 
2/5/2008,  39.06 
3/5/2008,  39.40 
4/5/2008,  39.64 
5/5/2008,  39.50 
6/5/2008,  39.66 
7/5/2008,  39.55 
8/5/2008,  39.82 
9/5/2008,  40.33 
10/5/2008,  40.32 
11/5/2008,  39.86 
12/5/2008,  39.65 
13/5/2008,  40.25 
14/5/2008,  39.91 
15/5/2008,  39.86 
16/5/2008,  40.17 
17/5/2008,  39.86 
18/5/2008,  39.79 
19/5/2008,  39.43 
20/5/2008,  39.69 
21/5/2008,  39.79 
22/5/2008,  39.67 
23/5/2008,  39.89 
24/5/2008,  39.60 
25/5/2008,  39.56 
26/5/2008,  39.18 
27/5/2008,  38.74 
28/5/2008,  38.62 
29/5/2008,  38.60 
30/5/2008,  38.57 
31/5/2008,  38.77 
1/6/2008,  38.63 
2/6/2008,  38.23 
3/6/2008,  38.26 
4/6/2008,  38.10 
5/6/2008,  38.07 
6/6/2008,  38.30 
7/6/2008,  37.96 
8/6/2008,  38.07 
9/6/2008,  37.92 
10/6/2008,  37.69 
11/6/2008,  37.91 
12/6/2008,  37.73 
13/6/2008,  37.90 
14/6/2008,  37.80 
15/6/2008,  37.57 
16/6/2008,  37.80 
17/6/2008,  37.63 
18/6/2008,  37.63 
19/6/2008,  37.55 
20/6/2008,  37.20 
21/6/2008,  37.31 
22/6/2008,  37.54 
23/6/2008,  36.70 
24/6/2008,  37.05 
25/6/2008,  36.76 
26/6/2008,  37.16 
27/6/2008,  36.68 
28/6/2008,  37.23 
29/6/2008,  36.63 
30/6/2008,  36.42 
1/7/2008,  36.58 
2/7/2008,  36.82 
3/7/2008,  36.44 
4/7/2008,  36.26 
5/7/2008,  36.81 
6/7/2008,  36.41 
7/7/2008,  36.02 
8/7/2008,  36.07 
9/7/2008,  35.72 
10/7/2008,  36.27 
11/7/2008,  35.89 
12/7/2008,  35.79 
13/7/2008,  35.69 
14/7/2008,  36.26 
15/7/2008,  35.63 
16/7/2008,  36.42 
17/7/2008,  35.50 
18/7/2008,  36.33 
19/7/2008,  35.49 
20/7/2008,  35.92 
21/7/2008,  35.29 
22/7/2008,  36.06 
23/7/2008,  35.66 
24/7/2008,  36.17 
25/7/2008,  35.61 
26/7/2008,  36.21 
27/7/2008,  35.29 
28/7/2008,  35.76 
29/7/2008,  35.45 
30/7/2008,  35.88 
31/7/2008,  35.30 
1/8/2008,  35.62 
2/8/2008,  34.84 
3/8/2008,  35.37 
4/8/2008,  34.84 
5/8/2008,  35.21 
6/8/2008,  34.76 
7/8/2008,  35.05 
8/8/2008,  34.57 
9/8/2008,  34.81 
10/8/2008,  34.64 
11/8/2008,  34.32 
12/8/2008,  33.96 
13/8/2008,  34.51 
14/8/2008,  33.80 
15/8/2008,  34.14 
16/8/2008,  34.21 
